Area Code,Area,Item Code,Item,Element Code,Element,Source Code,Source,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
"27","Bulgaria","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3051","UNFCCC","kilotonnes","22.773300","44.345900","67.510700","24.743500","31.752400","13.519600","12.879400","12.472300","14.205500","37.689400","34.407800","15.195800","41.980400","30.864200","32.863500","62.400000","53.821000","92.105200","238.118600","48.504600","110.977900","56.488800","88.940000","158.778400","72.298100","207.748700","174.500600","185.822600","82.971700","239.282500",
"27","Bulgaria","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-22968.275000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-24745.545000","-13293.126000","-13293.126000","-13293.126000","-13293.126000","-13293.126000","-34978.680000","-34978.680000","-34978.680000","-34978.680000","-34978.680000"
"233","Burkina Faso","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","7716.600000","7666.590000","7616.580000","7566.570000","7516.560000","7466.550000","7416.540000","7366.530000","7316.520000","7266.510000","7216.500000","7166.500000","7116.500000","7066.500000","7016.500000","6966.500000","6916.500000","6866.500000","6816.500000","6766.500000","6716.500000","6666.480000","6616.460000","6566.440000","6516.420000","6466.400000","6416.400000","6366.400000","6316.400000","6266.400000","6216.400000"
"233","Burkina Faso","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","4535.520000","9132.786700","9132.786700","9132.786700","9132.786700","9132.786700","9132.786700","9132.786700","9132.786700","9132.786700","9132.786700","-638.293300","-638.293300","-638.293300","-638.293300","-638.293300","17596.480000","17596.480000","17596.480000","17596.480000","17596.480000"
"233","Burkina Faso","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.440000","55.460000","55.460000","55.460000","55.460000","55.460000","55.440000","55.440000","55.440000","55.440000","55.440000"
"233","Burkina Faso","6750","Net Forest conversion","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7724.640000","7318.080000","7318.080000","7318.080000","7318.080000","7318.080000","7318.080000","7318.080000","7318.080000","7318.080000","7318.080000","6507.306700","6507.306700","6507.306700","6507.306700","6507.306700","6504.960000","6504.960000","6504.960000","6504.960000","6504.960000"
"233","Burkina Faso","6749","Carbon stock change in forests","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","12260.160000","16450.866700","16450.866700","16450.866700","16450.866700","16450.866700","16450.866700","16450.866700","16450.866700","16450.866700","16450.866700","5869.013300","5869.013300","5869.013300","5869.013300","5869.013300","24101.440000","24101.440000","24101.440000","24101.440000","24101.440000"
"29","Burundi","6751","Forestland","5110","Area","3050","FAO TIER 1","1000 ha","276.480000","268.226000","259.972000","251.718000","243.464000","235.210000","226.956000","218.702000","210.448000","202.194000","193.940000","193.940000","193.940000","193.940000","193.940000","193.940000","193.940000","193.940000","193.940000","193.940000","193.940000","211.080000","228.220000","245.360000","262.500000","279.640000","279.640000","279.640000","279.640000","279.640000","279.640000"
"29","Burundi","6751","Forestland","72332","Net emissions/removals (CO2) (Forest land)","3050","FAO TIER 1","kilotonnes","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","-1.422200","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-4943.821200","-4943.821200","-4943.821200","-4943.821200","-4943.821200","0.000000","0.000000","0.000000","0.000000","0.000000"
"29","Burundi","6750","Net Forest conversion","5110","Area","3050","FAO TIER 1","1000 ha","8.254000","8.254000","8.254000","8.254000","8.254000","8.254000","8.254000","8.254000","8.254000","8.254000","8.254000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
